,Hospital Name,Hospital Type,City,County,State,# of Licensed Beds,# of Staffed Beds,# of ICU Beds,# of Adult ICU Beds,# of Pediatric ICU Beds,Bed Utilization Rate,Potential Increase in Bed Capacity,Average Ventilator Usage
715,Memorial Hospital Miramar,Short Term Acute Care Hospital,Miramar,Broward,Florida,178.0,178.0,18,18,16.0,0.4589657,0,2.0
716,Broward Health Coral Springs (FKA Coral Springs Medical Center),Short Term Acute Care Hospital,Coral Springs,Broward,Florida,250.0,196.0,16,16,0.0,0.5125,54,4.0
717,Memorial Hospital West,Short Term Acute Care Hospital,Pembroke Pines,Broward,Florida,486.0,486.0,32,32,20.0,0.5674654,0,5.0
718,Bayfront Health - Punta Gorda (FKA Charlotte Regional Medical Center),Short Term Acute Care Hospital,Punta Gorda,Charlotte,Florida,208.0,136.0,10,10,0.0,0.3502216,72,4.0
719,Bayfront Health - Port Charlotte (FKA Peace River Regional Medical Center),Short Term Acute Care Hospital,Port Charlotte,Charlotte,Florida,254.0,254.0,22,22,7.0,0.519987,0,6.0
720,Fawcett Memorial Hospital,Short Term Acute Care Hospital,Port Charlotte,Charlotte,Florida,253.0,217.0,19,19,0.0,0.6509058,36,9.0
721,Bayfront Health - Seven Rivers (FKA Seven Rivers Regional Medical Center),Short Term Acute Care Hospital,Crystal River,Citrus,Florida,128.0,128.0,16,16,0.0,0.5363014,0,5.0
722,Citrus Memorial Hospital,Short Term Acute Care Hospital,Inverness,Citrus,Florida,204.0,204.0,24,24,0.0,0.6043245,0,9.0
723,Orange Park Medical Center,Short Term Acute Care Hospital,Orange Park,Clay,Florida,317.0,273.0,28,28,16.0,0.7889909,44,14.0
724,Physicians Regional Medical Center - Pine Ridge,Short Term Acute Care Hospital,Naples,Collier,Florida,105.0,101.0,24,24,0.0,0.7058679,4,6.0
725,Shands Lake Shore Regional Medical Center,Short Term Acute Care Hospital,Lake City,Columbia,Florida,99.0,87.0,9,9,0.0,0.2932137,12,2.0
726,Lake City Medical Center,Short Term Acute Care Hospital,Lake City,Columbia,Florida,91.0,91.0,18,18,0.0,0.6688544,0,4.0
727,Desoto Memorial Hospital,Short Term Acute Care Hospital,Arcadia,DeSoto,Florida,49.0,49.0,8,8,0.0,0.1736092,0,2.0
728,Memorial Hospital Jacksonville,Short Term Acute Care Hospital,Jacksonville,Duval,Florida,454.0,377.0,51,51,10.0,0.7363468,77,13.0
729,Mayo Clinic Hospital - Florida,Short Term Acute Care Hospital,Jacksonville,Duval,Florida,304.0,277.0,54,54,0.0,0.7269148,27,15.0
730,Baptist Medical Center Beaches,Short Term Acute Care Hospital,Jacksonville Beach,Duval,Florida,146.0,135.0,24,24,0.0,0.548412,11,5.0
731,UF Health Jacksonville,Short Term Acute Care Hospital,Jacksonville,Duval,Florida,603.0,533.0,80,80,56.0,0.7590326,70,16.0
732,Ascension St Vincents Riverside Hospital,Short Term Acute Care Hospital,Jacksonville,Duval,Florida,528.0,479.0,37,37,10.0,0.5543913,49,12.0
733,Ascension St Vincents Southside Hospital,Short Term Acute Care Hospital,Jacksonville,Duval,Florida,313.0,260.0,17,17,10.0,0.3581608,53,4.0
734,Ascension Sacred Heart Hospital Pensacola,Short Term Acute Care Hospital,Pensacola,Escambia,Florida,566.0,561.0,34,34,82.0,0.5873782,5,17.0
735,Baptist Hospital,Short Term Acute Care Hospital,Pensacola,Escambia,Florida,492.0,266.0,37,37,0.0,0.7418993,226,7.0
736,West Florida Hospital (AKA West Florida Healthcare),Short Term Acute Care Hospital,Pensacola,Escambia,Florida,515.0,356.0,26,26,0.0,0.6437048,159,11.0
737,AdventHealth Palm Coast (FKA Florida Hospital Flagler),Short Term Acute Care Hospital,Palm Coast,Flagler,Florida,99.0,99.0,18,18,0.0,0.9044694,0,3.0
738,Florida State Hospital,Short Term Acute Care Hospital,Chattahoochee,Gadsden,Florida,949.0,24.0,4,4,0.0,0.197032,925,0.0
739,AdventHealth Wauchula (FKA Florida Hospital Wauchula),Critical Access Hospital,Wauchula,Hardee,Florida,25.0,25.0,4,4,0.0,0.9115617,0,1.0
740,Hendry Regional Medical Center,Critical Access Hospital,Clewiston,Hendry,Florida,25.0,25.0,3,3,0.0,0.1251507,0,2.0
741,Oak Hill Hospital,Short Term Acute Care Hospital,Brooksville,Hernando,Florida,350.0,280.0,24,24,0.0,0.8399511,70,10.0
742,Bayfront Health - Brooksville (FKA Brooksville Regional Hospital),Short Term Acute Care Hospital,Brooksville,Hernando,Florida,120.0,120.0,20,20,10.0,0.4376151,0,4.0
743,Highlands Regional Medical Center,Short Term Acute Care Hospital,Sebring,Highlands,Florida,126.0,110.0,16,16,0.0,0.3061519,16,4.0
744,AdventHealth Sebring (FKA Florida Hospital Heartland Medical Center),Short Term Acute Care Hospital,Sebring,Highlands,Florida,147.0,180.0,22,22,0.0,0.6683714,-33,4.0
745,Tampa General Hospital,Short Term Acute Care Hospital,Tampa,Hillsborough,Florida,1006.0,920.0,101,101,91.0,0.7860185,86,36.0
746,South Florida Baptist Hospital,Short Term Acute Care Hospital,Plant City,Hillsborough,Florida,147.0,147.0,25,25,0.0,0.4894604,0,3.0
747,Brandon Regional Hospital,Short Term Acute Care Hospital,Brandon,Hillsborough,Florida,422.0,393.0,54,54,22.0,0.6281478,29,10.0
748,AdventHealth Tampa (FKA Florida Hospital Tampa),Short Term Acute Care Hospital,Tampa,Hillsborough,Florida,536.0,506.0,58,58,28.0,0.6160377,30,8.0
749,Memorial Hospital of Tampa (FKA IASIS Memorial Hospital of Tampa),Short Term Acute Care Hospital,Tampa,Hillsborough,Florida,183.0,147.0,12,12,0.0,0.2994502,36,3.0
750,St Josephs Hospital,Short Term Acute Care Hospital,Tampa,Hillsborough,Florida,807.0,527.0,106,106,64.0,0.6607977,280,18.0
751,AdventHealth Carrollwood (FKA Florida Hospital Carrollwood),Short Term Acute Care Hospital,Tampa,Hillsborough,Florida,103.0,103.0,8,8,0.0,0.5150685,0,2.0
752,Tampa Community Hospital (FKA Town & Country Hospital),Short Term Acute Care Hospital,Tampa,Hillsborough,Florida,201.0,182.0,11,11,0.0,0.2249054,19,2.0
753,South Bay Hospital,Short Term Acute Care Hospital,Sun City Center,Hillsborough,Florida,138.0,138.0,12,12,0.0,0.4878896,0,3.0
754,Moffitt Cancer Center (AKA H Lee Moffitt Cancer Center & Research Institute),Short Term Acute Care Hospital,Tampa,Hillsborough,Florida,218.0,206.0,30,30,0.0,0.8018752,12,3.0
755,James A Haley Veterans Hospital,VA Hospital,Tampa,Hillsborough,Florida,415.0,415.0,2,2,,,0,2.0
756,Doctors Memorial Hospital,Critical Access Hospital,Bonifay,Holmes,Florida,20.0,20.0,3,3,0.0,0.4569863,0,2.0
757,Cleveland Clinic Indian River Hospital (FKA Indian River Medical Center),Short Term Acute Care Hospital,Vero Beach,Indian River,Florida,332.0,310.0,24,24,0.0,0.4897393,22,7.0
758,Sebastian River Medical Center,Short Term Acute Care Hospital,Sebastian,Indian River,Florida,154.0,121.0,16,16,0.0,0.4698743,33,4.0
759,Jackson Hospital,Short Term Acute Care Hospital,Marianna,Jackson,Florida,100.0,66.0,7,7,0.0,0.5256953,34,3.0
760,UF Health the Villages Hospital (FKA the Villages Regional Hospital),Short Term Acute Care Hospital,The Villages,Sumter,Florida,307.0,277.0,56,56,0.0,0.5834726,30,8.0
761,UF Health Leesburg Hospital (FKA Leesburg Regional Medical Center),Short Term Acute Care Hospital,Leesburg,Lake,Florida,332.0,308.0,46,46,0.0,0.5933019,24,7.0
762,AdventHealth Waterman (FKA Florida Hospital Waterman),Short Term Acute Care Hospital,Tavares,Lake,Florida,303.0,269.0,47,47,0.0,0.6512298,34,6.0
763,Orlando Health South Lake Hospital,Short Term Acute Care Hospital,Clermont,Lake,Florida,170.0,140.0,16,16,0.0,0.8723875,30,6.0
764,Lehigh Regional Medical Center,Short Term Acute Care Hospital,Lehigh Acres,Lee,Florida,88.0,78.0,8,8,0.0,0.3319635,10,4.0
765,Lee Memorial Hospital,Short Term Acute Care Hospital,Fort Myers,Lee,Florida,414.0,355.0,75,75,129.0,0.710948,59,40.0
766,Gulf Coast Medical Center,Short Term Acute Care Hospital,Fort Myers,Lee,Florida,647.0,356.0,36,36,0.0,0.7657919,291,23.0
767,Cape Coral Hospital,Short Term Acute Care Hospital,Cape Coral,Lee,Florida,291.0,291.0,22,22,23.0,0.647771,0,21.0
768,Capital Regional Medical Center,Short Term Acute Care Hospital,Tallahassee,Leon,Florida,266.0,266.0,20,20,0.0,0.6538882,0,7.0
769,Tallahassee Memorial HealthCare,Short Term Acute Care Hospital,Tallahassee,Leon,Florida,772.0,386.0,30,30,30.0,0.8714316,386,25.0
770,Blake Medical Center,Short Term Acute Care Hospital,Bradenton,Manatee,Florida,383.0,355.0,43,43,0.0,0.5793528,28,8.0
771,Manatee Memorial Hospital,Short Term Acute Care Hospital,Bradenton,Manatee,Florida,295.0,295.0,35,35,6.0,0.7164337,0,8.0
772,Lakewood Ranch Medical Center,Short Term Acute Care Hospital,Bradenton,Manatee,Florida,120.0,120.0,20,20,0.0,0.5319863,0,5.0
773,AdventHealth Ocala (FKA Florida Hospital Ocala),Short Term Acute Care Hospital,Ocala,Marion,Florida,425.0,425.0,44,44,0.0,0.5058382,0,10.0
774,Ocala Regional Medical Center,Short Term Acute Care Hospital,Ocala,Marion,Florida,256.0,200.0,66,66,0.0,0.8732061,56,16.0
775,Cleveland Clinic Martin North Hospital (FKA Martin Medical Center),Short Term Acute Care Hospital,Stuart,Martin,Florida,244.0,244.0,66,66,0.0,0.6083033,0,17.0
776,Mount Sinai Medical Center (FL),Short Term Acute Care Hospital,Miami Beach,Miami-Dade,Florida,672.0,473.0,72,72,0.0,0.563034,199,16.0
777,Larkin Community Hospital - Palm Springs Campus (FKA Palm Springs General Hospital),Short Term Acute Care Hospital,Hialeah,Miami-Dade,Florida,247.0,119.0,14,14,0.0,0.4313282,128,4.0
778,North Shore Medical Center,Short Term Acute Care Hospital,Miami,Miami-Dade,Florida,337.0,305.0,58,58,18.0,0.3849425,32,14.0
779,Jackson Memorial Hospital,Short Term Acute Care Hospital,Miami,Miami-Dade,Florida,1493.0,1622.0,91,91,97.0,0.6009003,-129,24.0
780,Baptist Hospital,Short Term Acute Care Hospital,Miami,Miami-Dade,Florida,728.0,705.0,40,40,36.0,0.7294161,23,20.0
781,Hialeah Hospital,Short Term Acute Care Hospital,Hialeah,Miami-Dade,Florida,366.0,362.0,21,21,10.0,0.3690154,4,9.0
782,Sylvester Comprehensive Cancer Center,Short Term Acute Care Hospital,Miami,Miami-Dade,Florida,40.0,524.0,47,47,0.0,0.579452,-484,8.0
783,Kendall Regional Medical Center,Short Term Acute Care Hospital,Miami,Miami-Dade,Florida,417.0,394.0,52,52,20.0,0.7343161,23,15.0
784,Larkin Community Hospital - South Miami Campus,Short Term Acute Care Hospital,South Miami,Miami-Dade,Florida,146.0,111.0,8,8,0.0,0.6311243,35,2.0
785,Coral Gables Hospital,Short Term Acute Care Hospital,Coral Gables,Miami-Dade,Florida,245.0,245.0,16,16,0.0,0.3275594,0,6.0
786,Palmetto General Hospital,Short Term Acute Care Hospital,Hialeah,Miami-Dade,Florida,368.0,367.0,57,57,15.0,0.5597991,1,14.0
787,Homestead Hospital,Short Term Acute Care Hospital,Homestead,Miami-Dade,Florida,147.0,147.0,16,16,0.0,0.5607311,0,5.0
788,South Miami Hospital,Short Term Acute Care Hospital,Miami,Miami-Dade,Florida,436.0,436.0,28,28,62.0,0.44535,0,12.0
789,Aventura Hospital and Medical Center,Short Term Acute Care Hospital,Aventura,Miami-Dade,Florida,407.0,351.0,77,77,0.0,0.7277602,56,12.0
790,Doctors Hospital,Short Term Acute Care Hospital,Coral Gables,Miami-Dade,Florida,281.0,281.0,12,12,0.0,0.2375177,0,4.0
791,Miami VA Healthcare System - Bruce W Carter VA Medical Center,VA Hospital,Miami,Miami-Dade,Florida,243.0,243.0,1,1,,,0,2.0
792,Westchester General Hospital,Short Term Acute Care Hospital,Miami,Miami-Dade,Florida,125.0,125.0,8,8,0.0,0.4265026,0,2.0
793,Douglas Gardens Hospital (AKA Miami Jewish Health Systems),Short Term Acute Care Hospital,Miami,Miami-Dade,Florida,32.0,32.0,6,6,0.0,0.1255993,0,0.0
794,Lower Keys Medical Center,Short Term Acute Care Hospital,Key West,Monroe,Florida,118.0,99.0,9,9,0.0,0.2783451,19,2.0
795,Mariners Hospital,Critical Access Hospital,Tavernier,Monroe,Florida,25.0,25.0,4,4,0.0,0.1580274,0,2.0
796,Fishermens Community Hospital,Critical Access Hospital,Marathon,Monroe,Florida,4.0,5.0,1,1,0.0,0.01753425,-1,2.0
797,Baptist Medical Center Nassau,Short Term Acute Care Hospital,Fernandina Beach,Nassau,Florida,62.0,54.0,9,9,0.0,0.5542871,8,3.0
798,North Okaloosa Medical Center,Short Term Acute Care Hospital,Crestview,Okaloosa,Florida,110.0,110.0,20,20,0.0,0.5048568,0,4.0
799,Fort Walton Beach Medical Center,Short Term Acute Care Hospital,Fort Walton Beach,Okaloosa,Florida,237.0,189.0,23,23,10.0,0.8584475,48,9.0
800,Twin Cities Hospital,Short Term Acute Care Hospital,Niceville,Okaloosa,Florida,65.0,65.0,8,8,0.0,0.3583983,0,2.0
801,Raulerson Hospital,Short Term Acute Care Hospital,Okeechobee,Okeechobee,Florida,100.0,100.0,8,8,0.0,0.4747123,0,3.0
802,Orlando Health Orlando Regional Medical Center,Short Term Acute Care Hospital,Orlando,Orange,Florida,898.0,808.0,71,71,159.0,0.6995745,90,21.0
803,AdventHealth Orlando (FKA Florida Hospital Orlando),Short Term Acute Care Hospital,Orlando,Orange,Florida,1364.0,2753.0,221,221,118.0,0.6321821,-1389,30.0
804,Orlando Health - Health Central Hospital,Short Term Acute Care Hospital,Ocoee,Orange,Florida,216.0,211.0,14,14,0.0,0.7279232,5,4.0
805,Osceola Regional Medical Center,Short Term Acute Care Hospital,Kissimmee,Osceola,Florida,404.0,351.0,52,52,24.0,0.8110672,53,9.0
806,St Cloud Regional Medical Center,Short Term Acute Care Hospital,Saint Cloud,Osceola,Florida,84.0,84.0,8,8,0.0,0.5185258,0,3.0
807,Delray Medical Center,Short Term Acute Care Hospital,Delray Beach,Palm Beach,Florida,536.0,356.0,52,52,0.0,0.6030015,180,16.0
808,West Palm Beach VA Medical Center,VA Hospital,West Palm Beach,Palm Beach,Florida,152.0,152.0,2,2,,,0,2.0
809,Good Samaritan Medical Center,Short Term Acute Care Hospital,West Palm Beach,Palm Beach,Florida,333.0,333.0,22,22,7.0,0.3728742,0,6.0
810,St Marys Medical Center,Short Term Acute Care Hospital,West Palm Beach,Palm Beach,Florida,460.0,370.0,26,26,45.0,0.6043243,90,9.0
811,Wellington Regional Medical Center,Short Term Acute Care Hospital,Wellington,Palm Beach,Florida,235.0,233.0,16,16,25.0,0.6133455,2,7.0
812,West Boca Medical Center,Short Term Acute Care Hospital,Boca Raton,Palm Beach,Florida,195.0,194.0,16,16,39.0,0.5064539,1,4.0
813,Palms West Hospital,Short Term Acute Care Hospital,Loxahatchee,Palm Beach,Florida,204.0,204.0,18,18,10.0,0.7079506,0,4.0
814,Lakeside Medical Center,Short Term Acute Care Hospital,Belle Glade,Palm Beach,Florida,70.0,54.0,6,6,0.0,0.2552004,16,2.0
815,Boca Raton Regional Hospital,Short Term Acute Care Hospital,Boca Raton,Palm Beach,Florida,400.0,370.0,41,41,10.0,0.6334765,30,15.0
816,Palm Beach Gardens Medical Center,Short Term Acute Care Hospital,Palm Beach Gardens,Palm Beach,Florida,199.0,199.0,44,44,0.0,0.6543127,0,6.0
817,Jupiter Medical Center,Short Term Acute Care Hospital,Jupiter,Palm Beach,Florida,242.0,207.0,17,17,0.0,0.6336841,35,4.0
818,JFK Medical Center North Campus (FKA West Palm Hospital),Short Term Acute Care Hospital,West Palm Beach,Palm Beach,Florida,245.0,168.0,20,20,0.0,0.3871429,77,3.0
819,Bethesda Hospital East (FKA Bethesda Memorial Hospital),Short Term Acute Care Hospital,Boynton Beach,Palm Beach,Florida,401.0,431.0,40,40,0.0,0.5927607,-30,14.0
820,JFK Medical Center,Short Term Acute Care Hospital,Atlantis,Palm Beach,Florida,558.0,486.0,72,72,0.0,0.6310781,72,16.0
821,AdventHealth Zephyrhills (FKA Florida Hospital Zephyrhills),Short Term Acute Care Hospital,Zephyrhills,Pasco,Florida,149.0,149.0,14,14,0.0,0.604174,0,3.0
822,Morton Plant North Bay Hospital,Short Term Acute Care Hospital,New Port Richey,Pasco,Florida,150.0,187.0,22,22,0.0,0.7803971,-37,4.0
823,Medical Center of Trinity (FKA Community Hospital),Short Term Acute Care Hospital,Trinity,Pasco,Florida,278.0,245.0,34,34,12.0,0.6703584,33,6.0
824,AdventHealth Dade City (FKA Florida Hospital Dade City),Short Term Acute Care Hospital,Dade City,Pasco,Florida,120.0,75.0,12,12,0.0,0.1947259,45,2.0
825,Regional Medical Center Bayonet Point,Short Term Acute Care Hospital,Hudson,Pasco,Florida,290.0,290.0,20,20,0.0,0.6999811,0,9.0
826,Mease Countryside Hospital,Short Term Acute Care Hospital,Safety Harbor,Pinellas,Florida,311.0,311.0,26,26,10.0,0.6409902,0,7.0
827,Northside Hospital,Short Term Acute Care Hospital,St Petersburg,Pinellas,Florida,288.0,221.0,32,32,0.0,0.5884212,67,10.0
828,Largo Medical Center,Short Term Acute Care Hospital,Largo,Pinellas,Florida,286.0,250.0,22,22,0.0,0.6702394,36,10.0
829,St Petersburg General Hospital,Short Term Acute Care Hospital,Kenneth City,Pinellas,Florida,215.0,168.0,21,21,0.0,0.3751468,47,4.0
830,Palms of Pasadena Hospital,Short Term Acute Care Hospital,South Pasadena,Pinellas,Florida,307.0,167.0,18,18,0.0,0.4264785,140,4.0
831,Morton Plant Hospital,Short Term Acute Care Hospital,Clearwater,Pinellas,Florida,599.0,530.0,38,38,15.0,0.6192111,69,10.0
832,St Anthonys Hospital,Short Term Acute Care Hospital,St Petersburg,Pinellas,Florida,393.0,308.0,18,18,0.0,0.7752446,85,8.0
833,AdventHealth North Pinellas (FKA Florida Hospital North Pinellas),Short Term Acute Care Hospital,Tarpon Springs,Pinellas,Florida,168.0,136.0,13,13,0.0,0.4193392,32,2.0
834,Bay Pines VA Healthcare System - CW Bill Young VA Medical Center,VA Hospital,Bay Pines,Pinellas,Florida,186.0,186.0,3,3,,,0,2.0
835,Bayfront Health - St Petersburg (FKA Bayfront Medical Center),Short Term Acute Care Hospital,St Petersburg,Pinellas,Florida,480.0,343.0,34,34,0.0,0.5289109,137,7.0
836,Mease Dunedin Hospital,Short Term Acute Care Hospital,Dunedin,Pinellas,Florida,120.0,112.0,20,20,0.0,0.7088307,8,3.0
837,AdventHealth Lake Wales (FKA Lake Wales Medical Center),Short Term Acute Care Hospital,Lake Wales,Polk,Florida,160.0,93.0,8,8,0.0,0.5107306,67,3.0
838,Winter Haven Hospital - Baycare,Short Term Acute Care Hospital,Winter Haven,Polk,Florida,447.0,447.0,44,44,15.0,0.4837171,0,10.0
839,AdventHealth Heart of Florida (FKA Heart of Florida Regional Medical Center),Short Term Acute Care Hospital,Davenport,Polk,Florida,193.0,193.0,15,15,0.0,0.4902986,0,3.0
840,Bartow Regional Medical Center,Short Term Acute Care Hospital,Bartow,Polk,Florida,72.0,72.0,6,6,0.0,0.4368722,0,2.0
841,Lakeland Regional Health Medical Center,Short Term Acute Care Hospital,Lakeland,Polk,Florida,864.0,774.0,72,72,30.0,0.6133695,90,23.0
842,Putnam Community Medical Center,Short Term Acute Care Hospital,Palatka,Putnam,Florida,99.0,99.0,10,10,0.0,0.6497579,0,5.0
843,Flagler Health (AKA Flagler Hospital),Short Term Acute Care Hospital,St Augustine,St. Johns,Florida,335.0,335.0,47,47,7.0,0.4665549,0,6.0
844,Lawnwood Regional Medical Center & Heart Institute,Short Term Acute Care Hospital,Fort Pierce,St. Lucie,Florida,392.0,312.0,36,36,6.0,0.780497,80,12.0
845,St Lucie Medical Center,Short Term Acute Care Hospital,Port St Lucie,St. Lucie,Florida,229.0,207.0,18,18,0.0,0.6681491,22,6.0
846,Gulf Breeze Hospital,Short Term Acute Care Hospital,Gulf Breeze,Santa Rosa,Florida,77.0,65.0,8,8,0.0,0.6061538,12,2.0
847,Santa Rosa Medical Center,Short Term Acute Care Hospital,Milton,Santa Rosa,Florida,129.0,108.0,8,8,0.0,0.3610548,21,3.0
848,Jay Hospital,Short Term Acute Care Hospital,Jay,Santa Rosa,Florida,49.0,21.0,4,4,0.0,0.4126549,28,1.0
849,Sarasota Memorial Hospital,Short Term Acute Care Hospital,Sarasota,Sarasota,Florida,839.0,708.0,62,62,33.0,0.6566554,131,16.0
850,Venice Regional Bayfront Health (FKA Venice Regional Medical Center),Short Term Acute Care Hospital,Venice,Sarasota,Florida,312.0,229.0,32,32,0.0,0.410588,83,6.0
851,Doctors Hospital of Sarasota,Short Term Acute Care Hospital,Sarasota,Sarasota,Florida,155.0,139.0,16,16,0.0,0.5841135,16,5.0
852,Englewood Community Hospital,Short Term Acute Care Hospital,Englewood,Sarasota,Florida,100.0,100.0,8,8,0.0,0.2854521,0,3.0
853,Central Florida Regional Hospital,Short Term Acute Care Hospital,Sanford,Seminole,Florida,221.0,208.0,28,28,0.0,0.6636986,13,6.0
854,Lake City Medical Center (FKA Shands Live Oak Regional Medical Center),Critical Access Hospital,Live Oak,Suwannee,Florida,25.0,25.0,4,4,0.0,0.3880548,0,2.0
855,Doctors Memorial Hospital,Short Term Acute Care Hospital,Perry,Taylor,Florida,48.0,48.0,6,6,0.0,0.1098173,0,2.0
856,AdventHealth Fish Memorial (FKA Florida Hospital Fish Memorial),Short Term Acute Care Hospital,Orange City,Volusia,Florida,179.0,179.0,21,21,0.0,0.6536619,0,4.0
857,AdventHealth Daytona Beach (FKA Florida Hospital Memorial Medical Center),Short Term Acute Care Hospital,Daytona Beach,Volusia,Florida,362.0,277.0,46,46,16.0,0.7219411,85,7.0
858,AdventHealth DeLand (FKA Florida Hospital DeLand),Short Term Acute Care Hospital,Deland,Volusia,Florida,164.0,154.0,24,24,0.0,0.59372,10,3.0
